query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5298,'Allagadda',755);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (890,'Allahabad',120);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (6267,'Allapalli',690);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (908,'Allapur',121);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4940,'Allavaram',747);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5167,'Allur',515);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (7123,'Almel',530);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (330,'Almora',45);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (7081,'Alnavar',536);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1759,'Alongkima',246);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (7528,'Aloor',516);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (6809,'Aloosa',623);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3502,'Alot',423);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5274,'Alur',511);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5557,'Alur',539);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5658,'Aluva',555);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (6328,'Alwal',700);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (499,'Alwar',87);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5361,'Amadagur',754);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4798,'Amadalavalasa',519);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1836,'Amahator',614);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4941,'Amalapuram',747);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3969,'Amalner',478);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4563,'Amangal',518);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3439,'Amanganj',420);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5351,'Amarapuram',754);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5052,'Amaravathi',751);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (6290,'Amarchintha',693);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (7122,'Amargarh',737);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (6867,'Amariya',173);; affectedRows: 1
