query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Dharmagarh' AND local_body_id='263009';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Digapahandi' AND local_body_id='250541';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Ganjam' AND local_body_id='250538';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Gopalpur' AND local_body_id='250539';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Gudari' AND local_body_id='250563';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='G. Udayagiri' AND local_body_id='250547';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Hindol' AND local_body_id='259680';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Junagarh' AND local_body_id='250560';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Kamakhyanagar' AND local_body_id='248058';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Kantabanji' AND local_body_id='250552';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Karanjia' AND local_body_id='250480';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Kasinagar' AND local_body_id='250545';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Kavisurjyanagar' AND local_body_id='250532';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Kesinga' AND local_body_id='250559';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Khalikote' AND local_body_id='250535';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Khandapada' AND local_body_id='250510';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Khariar' AND local_body_id='250557';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Khariar Road' AND local_body_id='250556';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Kochinda' AND local_body_id='250453';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Kodala' AND local_body_id='250534';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Konark' AND local_body_id='250523';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Kotpad' AND local_body_id='250570';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Nilagiri' AND local_body_id='250484';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Nimapada' AND local_body_id='250522';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Nuapada' AND local_body_id='259201';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Odogaon' AND local_body_id='276434';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Padmapur' AND local_body_id='250446';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Patnagarh' AND local_body_id='250554';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Pipili' AND local_body_id='250521';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Polasara' AND local_body_id='250533';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Purusottampur' AND local_body_id='250531';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Rambha' AND local_body_id='250536';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Ranapur' AND local_body_id='262994';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Redhakhol' AND local_body_id='250454';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Remuna' AND local_body_id='300314';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Surada' AND local_body_id='250528';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Tarbha' AND local_body_id='250549';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Tusura' AND local_body_id='263006';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Council' WHERE local_body_name='Udala' AND local_body_id='250479';; affectedRows: 1
