query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Pathanamthitta' AND local_body_id='252252';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Pattambi' AND local_body_id='272905';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Payyannur' AND local_body_id='252111';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Payyoli' AND local_body_id='272896';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Perinthalmanna' AND local_body_id='252171';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Perumbavoor' AND local_body_id='252207';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Piravom' AND local_body_id='272882';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Ponnani' AND local_body_id='252173';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Punalur' AND local_body_id='252254';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Ramanattukara' AND local_body_id='272899';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Shoranur' AND local_body_id='252174';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Sreekandapuram' AND local_body_id='272884';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Sulthanbathery' AND local_body_id='272911';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Taliparamba' AND local_body_id='252112';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Tanur' AND local_body_id='272904';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Thalassery' AND local_body_id='252149';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Thiruvalla' AND local_body_id='252251';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Thodupuzha' AND local_body_id='252233';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Thrikkakara' AND local_body_id='259708';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Thrippunithura' AND local_body_id='252227';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Tirur' AND local_body_id='252172';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Tirurangadi' AND local_body_id='272903';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Vaikom' AND local_body_id='252236';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Valanchery' AND local_body_id='272902';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Varkala' AND local_body_id='252257';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Vatakara' AND local_body_id='252157';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Wadakkanchery' AND local_body_id='272909';; affectedRows: 1
