query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Gokak' AND local_body_id='251818';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Harihar' AND local_body_id='251938';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Hassan' AND local_body_id='252012';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Haveri' AND local_body_id='251916';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Hebbugodi' AND local_body_id='276463';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Hiriyur' AND local_body_id='251937';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Hootagalli' AND local_body_id='299335';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Hosakote' AND local_body_id='251995';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Hosapete' AND local_body_id='251922';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Hunsur' AND local_body_id='252043';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Ilkal' AND local_body_id='251841';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Jamkhandi' AND local_body_id='251832';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Kanakpura' AND local_body_id='253188';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Karwar' AND local_body_id='251900';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Kolar' AND local_body_id='251985';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Kollegal' AND local_body_id='252056';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Koppal' AND local_body_id='251882';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Madanayakanahalli' AND local_body_id='296975';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Madikeri' AND local_body_id='252037';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Mandya' AND local_body_id='252005';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Mudhol' AND local_body_id='251835';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Mulbagal' AND local_body_id='251989';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Nanjangud' AND local_body_id='252050';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Nelamangala' AND local_body_id='251990';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Nipani' AND local_body_id='251809';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Puttur' AND local_body_id='252035';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Rabkavi-Banhatti' AND local_body_id='251833';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Ramanagara' AND local_body_id='253186';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Ranibennur' AND local_body_id='251919';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Robertson Pet' AND local_body_id='251988';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Sagar' AND local_body_id='251945';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Shahabad' AND local_body_id='251855';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Shahpur' AND local_body_id='251861';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Shorapur' AND local_body_id='251859';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Sidlaghatta' AND local_body_id='251982';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Sindhnur' AND local_body_id='251878';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Sira' AND local_body_id='251969';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Sirsi' AND local_body_id='251905';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Siruguppa' AND local_body_id='251925';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Tiptur' AND local_body_id='251975';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Udupi' AND local_body_id='251955';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Ullal' AND local_body_id='252027';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Yadgir' AND local_body_id='251863';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Municipal Council' WHERE local_body_name='Afzalpur' AND local_body_id='251849';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Municipal Council' WHERE local_body_name='Aland' AND local_body_id='251848';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Municipal Council' WHERE local_body_name='Anekal' AND local_body_id='253189';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Municipal Council' WHERE local_body_name='Ankola' AND local_body_id='251906';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Municipal Council' WHERE local_body_name='Annigeri' AND local_body_id='251896';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Municipal Council' WHERE local_body_name='Athni' AND local_body_id='251812';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Municipal Council' WHERE local_body_name='Attibele' AND local_body_id='276539';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Municipal Council' WHERE local_body_name='Badami' AND local_body_id='251837';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Municipal Council' WHERE local_body_name='Bagepalli' AND local_body_id='251981';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Municipal Council' WHERE local_body_name='Bail Hongal' AND local_body_id='251827';; affectedRows: 1
