query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Nanakmatta' AND local_body_id='275661';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Nandanagar' AND local_body_id='301882';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Nandprayag' AND local_body_id='248415';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Naugaon' AND local_body_id='274461';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Padali Gurjar' AND local_body_id='299749';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Pati' AND local_body_id='301877';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Pipalkoti' AND local_body_id='276459';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Piran Kaliyar' AND local_body_id='275670';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Pokhari' AND local_body_id='259820';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Rampur' AND local_body_id='299529';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Satpuli' AND local_body_id='262882';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Selaqui(Central Hope Town)' AND local_body_id='275633';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Shaktigarh' AND local_body_id='248475';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Sultanpur' AND local_body_id='248466';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Sultanpur-Adampur' AND local_body_id='300592';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Swargashram Jonk' AND local_body_id='262843';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Tapovan' AND local_body_id='299531';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Thalisain' AND local_body_id='299532';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Tharali' AND local_body_id='275665';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Tilwara' AND local_body_id='276616';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Ukhimath' AND local_body_id='262901';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Cantonment Board' WHERE local_body_name='Almora' AND local_body_id='277257';; affectedRows: 0
query: UPDATE ulb_local_bodies SET local_body_type='Cantonment Board' WHERE local_body_name='Chakrata' AND local_body_id='277259';; affectedRows: 0
query: UPDATE ulb_local_bodies SET local_body_type='Cantonment Board' WHERE local_body_name='Clement Town' AND local_body_id='277260';; affectedRows: 0
query: UPDATE ulb_local_bodies SET local_body_type='Cantonment Board' WHERE local_body_name='Dehradun' AND local_body_id='277262';; affectedRows: 0
query: UPDATE ulb_local_bodies SET local_body_type='Cantonment Board' WHERE local_body_name='Landaur' AND local_body_id='277267';; affectedRows: 0
query: UPDATE ulb_local_bodies SET local_body_type='Cantonment Board' WHERE local_body_name='Lansdowne' AND local_body_id='277268';; affectedRows: 0
query: UPDATE ulb_local_bodies SET local_body_type='Cantonment Board' WHERE local_body_name='Nainital' AND local_body_id='277273';; affectedRows: 0
query: UPDATE ulb_local_bodies SET local_body_type='Cantonment Board' WHERE local_body_name='Ranikhet' AND local_body_id='277275';; affectedRows: 0
query: UPDATE ulb_local_bodies SET local_body_type='Cantonment Board' WHERE local_body_name='Roorkee' AND local_body_id='277276';; affectedRows: 0
