query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nagar Palika, Nainpur' AND local_body_id='248075';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nagda' AND local_body_id='250846';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Narmadapuram' AND local_body_id='250974';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Narsimhapur' AND local_body_id='251001';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Narsinghgarh' AND local_body_id='250937';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Neemuch' AND local_body_id='250823';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nepanagar' AND local_body_id='250927';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nowgong' AND local_body_id='250738';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Pali' AND local_body_id='250802';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Panagar' AND local_body_id='250987';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Pandhurna' AND local_body_id='251030';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Panna' AND local_body_id='250750';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Pasan' AND local_body_id='253197';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Pipariya' AND local_body_id='250977';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Pithampur' AND local_body_id='250888';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Porsa' AND local_body_id='250676';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Raghogarh-Vijaypur' AND local_body_id='250716';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Raisen' AND local_body_id='250955';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Rajgarh' AND local_body_id='250885';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Rehli' AND local_body_id='250769';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sabalgarh' AND local_body_id='250682';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sanawad' AND local_body_id='250908';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sarangpur' AND local_body_id='250936';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sarni' AND local_body_id='248069';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sausar' AND local_body_id='251027';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sehore' AND local_body_id='250947';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sendhwa' AND local_body_id='250919';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Seoni' AND local_body_id='251033';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Seoni-Malwa' AND local_body_id='250969';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Shahdol' AND local_body_id='250807';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Shajapur' AND local_body_id='250860';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sheopur' AND local_body_id='250673';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Shivpuri' AND local_body_id='250705';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Shujalpur' AND local_body_id='250862';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sidhi' AND local_body_id='248065';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sihora' AND local_body_id='250983';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sironj' AND local_body_id='250941';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Tikamgarh' AND local_body_id='290285';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Umaria' AND local_body_id='250801';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Vidisha' AND local_body_id='250944';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Waraseoni' AND local_body_id='251037';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Ajaygarh' AND local_body_id='250749';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Akoda' AND local_body_id='250685';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Akodia' AND local_body_id='250863';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Alampur' AND local_body_id='250692';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Alot' AND local_body_id='250839';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Amanganj' AND local_body_id='250753';; affectedRows: 1
