query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Lunkaransar' AND local_body_id='302182';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Mahwa' AND local_body_id='275691';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Makrana' AND local_body_id='248756';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Malakheda' AND local_body_id='301407';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Malpura' AND local_body_id='248794';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Malsisar' AND local_body_id='302612';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Mandar' AND local_body_id='302890';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Mandhan' AND local_body_id='302222';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Mandrayal' AND local_body_id='301413';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Maniyan' AND local_body_id='302896';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Manoharthana' AND local_body_id='302858';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Mawali' AND local_body_id='301445';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Nadbai' AND local_body_id='248706';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Nagaur' AND local_body_id='248749';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Napasar' AND local_body_id='302180';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Narayanpur' AND local_body_id='301905';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Nasirabad' AND local_body_id='277232';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Neem-Ka-Thana' AND local_body_id='248746';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Neemrana' AND local_body_id='299935';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Nohar' AND local_body_id='248665';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Pahari ' AND local_body_id='302206';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Palsana' AND local_body_id='302948';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Paota-Pragpura' AND local_body_id='296922';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Pisangan' AND local_body_id='302909';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Pratapgarh' AND local_body_id='248844';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Pushkar' AND local_body_id='248787';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Raipur' AND local_body_id='302860';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Rajgarh (Alwar)' AND local_body_id='248671';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Rajsamand' AND local_body_id='248818';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Ramgarh Pachwara' AND local_body_id='301410';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Ratangarh' AND local_body_id='248676';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Rawatbhata' AND local_body_id='248838';; affectedRows: 1
