query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Malout' AND local_body_id='248356';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Mansa' AND local_body_id='248376';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Maur' AND local_body_id='248371';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Morinda' AND local_body_id='248320';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Mukerian' AND local_body_id='248303';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Muktsar' AND local_body_id='248359';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Mullanpur Dakha' AND local_body_id='248340';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nabha' AND local_body_id='248397';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nakodar' AND local_body_id='248289';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nangal' AND local_body_id='277196';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nawanshahr' AND local_body_id='248313';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nayan Gaon' AND local_body_id='277194';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nurmahal' AND local_body_id='248291';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Patran' AND local_body_id='248395';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Patti' AND local_body_id='248277';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Payal' AND local_body_id='248336';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Phillaur' AND local_body_id='248293';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Qadian' AND local_body_id='248266';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Rahon' AND local_body_id='248314';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Raikot' AND local_body_id='248342';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Rajpura' AND local_body_id='248403';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Raman' AND local_body_id='248370';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Rampura Phul' AND local_body_id='248363';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Rayya' AND local_body_id='248278';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Rupnagar' AND local_body_id='248319';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sahnewal' AND local_body_id='248339';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Samana' AND local_body_id='248396';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Samrala' AND local_body_id='248332';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sanaur' AND local_body_id='248398';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sangat' AND local_body_id='248368';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sangrur' AND local_body_id='248386';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sham Chaurasi' AND local_body_id='248309';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sirhind Fatehgarh Sahib' AND local_body_id='248328';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sri Hargobindpur' AND local_body_id='248265';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sujanpur' AND local_body_id='248254';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sultanpur Lodhi' AND local_body_id='248285';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sunam' AND local_body_id='248390';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Talwandi Bhai' AND local_body_id='248350';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Tapa' AND local_body_id='248380';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Tarn-Taran' AND local_body_id='248274';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Urmar Tanda' AND local_body_id='248302';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Zira' AND local_body_id='248349';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Zirakpur' AND local_body_id='248407';; affectedRows: 1
