query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Jind' AND local_body_id='248533';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Kaithal' AND local_body_id='248511';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Kalka' AND local_body_id='248487';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Mandi Dabwali' AND local_body_id='248539';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Narnaul' AND local_body_id='248566';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Narwana' AND local_body_id='248531';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Nuh' AND local_body_id='248581';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Palwal' AND local_body_id='248586';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Pataudi Jatauli Mandi' AND local_body_id='248573';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Rewari' AND local_body_id='248569';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Samalkha' AND local_body_id='248526';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Sirsa' AND local_body_id='248541';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Sohna' AND local_body_id='248579';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Thanesar' AND local_body_id='248508';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Tohana' AND local_body_id='248537';; affectedRows: 1
