query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Narkatiaganj' AND local_body_id='249561';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Naugachhia' AND local_body_id='249627';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Nawada' AND local_body_id='249684';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Nokha' AND local_body_id='249669';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Phulwari Sharif' AND local_body_id='249651';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Piro' AND local_body_id='249663';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Pupri' AND local_body_id='299149';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Rajgir' AND local_body_id='299316';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Raxaul' AND local_body_id='249565';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Rosera' AND local_body_id='249622';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Sahebganj' AND local_body_id='253219';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Sampatchak' AND local_body_id='299178';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Shahpur Patori' AND local_body_id='299229';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Sheikhpura' AND local_body_id='249641';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Sheohar' AND local_body_id='299145';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Sherghati' AND local_body_id='249682';; affectedRows: 1
